movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,1188008
七武士,2,9.2,98064
蝙蝠侠：黑暗骑士,3,9.1,471470
指环王3：王者无敌,4,9.1,377935
搏击俱乐部,5,9.0,492621
指环王2：双塔奇兵,6,9.0,354710
将军号,7,9.0,10317
指环王1：魔戒再现,8,8.9,397284
黑客帝国,9,8.9,374175
攻壳机动队,10,8.9,72966
V字仇杀队,11,8.8,560044
勇敢的心,12,8.8,355935
蜘蛛侠：平行宇宙,13,8.8,200821
乱,14,8.8,42314
黑客帝国动画版,15,8.8,33883
用心棒,16,8.8,17795
桥,17,8.8,13635
攻壳机动队SSS,18,8.8,10615
让子弹飞,19,8.7,826544
头号玩家,20,8.7,678156
加勒比海盗,21,8.7,453392
谍影重重3,22,8.7,226866
纵横四海,23,8.7,194932
枪火,24,8.7,119683
东邪西毒：终极版,25,8.7,109555
精英部队2：大敌当前,26,8.7,51135
蝙蝠侠：黑暗骑士归来(下),27,8.7,18514
椿三十郎,28,8.7,10783
铁达尼号沉没记,29,8.7,5022
阿凡达,30,8.6,680047
超能陆战队,31,8.6,484392
蝙蝠侠：黑暗骑士崛起,32,8.6,366033
东邪西毒,33,8.6,320119
被解救的姜戈,34,8.6,316017
疯狂的麦克斯4：狂暴之路,35,8.6,250295
英雄本色,36,8.6,233464
黑客帝国3：矩阵革命,37,8.6,195788
谍影重重2,38,8.6,195689
终结者2：审判日,39,8.6,173694
勇闯夺命岛,40,8.6,166543
黑鹰坠落,41,8.6,147135
恶童,42,8.6,52097
宾虚,43,8.6,21706
敲开天堂的门,44,8.6,10366
西线无战事,45,8.6,8936
大菩萨岭,46,8.6,6215
碧血金沙,47,8.6,4634
落叶,48,8.6,4369
谍影重重,49,8.5,234395
新龙门客栈,50,8.5,228601
小萝莉的猴神大叔,51,8.5,226562
启示,52,8.5,51642
杀死比尔整个血腥事件,53,8.5,12450
蜘蛛巢城,54,8.5,10866
侠女,55,8.5,10582
午夜狂奔,56,8.5,9979
最长的一天,57,8.5,8072
兽兵卫忍风帖,58,8.5,5737
盗信情缘,59,8.5,3919
死亡的游戏,60,8.5,2406
通往自由的通道,61,8.5,1764
笔中情,62,8.5,1421
王牌特工：特工学院,63,8.4,411348
变脸,64,8.4,250199
速度与激情5,65,8.4,239625
无间道2,66,8.4,201359
黑客帝国2：重装上阵,67,8.4,173751
罪恶之城,68,8.4,145933
角斗士,69,8.4,138562
暗战,70,8.4,135752
神探,71,8.4,130911
黄海,72,8.4,102631
王牌对王牌,73,8.4,74037
盗火线,74,8.4,73216
天国王朝,75,8.4,56395
喋血双雄,76,8.4,45061
阿基拉,77,8.4,27015
精武门,78,8.4,19818
正义联盟：闪点悖论,79,8.4,14732
红线,80,8.4,4673
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,81,8.4,3793
福禄双霸天,82,8.4,2091
忍者小英雄,83,8.4,1145
红海行动,84,8.3,586357
釜山行,85,8.3,464521
西游记之大圣归来,86,8.3,437686
速度与激情7,87,8.3,309667
碟中谍4,88,8.3,298696
金刚狼3：殊死一战,89,8.3,296386
霍比特人3：五军之战,90,8.3,230576
蝙蝠侠：侠影之谜,91,8.3,179345
笑傲江湖2：东方不败,92,8.3,106956
热血警探,93,8.3,102132
守望者,94,8.3,95314
星球大战,95,8.3,78788
精武英雄,96,8.3,65607
星球大战前传3：西斯的复仇,97,8.3,64990
星球大战2：帝国反击战,98,8.3,59772
太极旗飘扬,99,8.3,59091
星球大战3：绝地归来,100,8.3,55043
一个字头的诞生,101,8.3,35020
荒野大镖客,102,8.3,25660
猛龙过江,103,8.3,22345
白色严冬,104,8.3,8805
蝙蝠侠：红影迷踪,105,8.3,8260
奏鸣曲,106,8.3,8076
关山飞渡,107,8.3,5599
日落黄沙,108,8.3,5499
战国英豪,109,8.3,4970
孟菲斯美女号,110,8.3,2551
飞出个未来大电影2：万背之兽,111,8.3,2417
菜鸟总动员：毕业,112,8.3,2364
最臭兵器,113,8.3,1097
功夫,114,8.2,371471
X战警：逆转未来,115,8.2,306473
变形金刚,116,8.2,293740
第九区,117,8.2,267070
霍比特人1：意外之旅,118,8.2,262729
加勒比海盗2：聚魂棺,119,8.2,244449
霍比特人2：史矛革之战,120,8.2,229363
X战警：第一战,121,8.2,227990
国产凌凌漆,122,8.2,209327
铁甲钢拳,123,8.2,184117
飓风营救,124,8.2,150819
买凶拍人,125,8.2,103105
英雄本色2,126,8.2,75091
铁雨,127,8.2,56644
监狱风云,128,8.2,55421
第一滴血,129,8.2,52060
西北偏北,130,8.2,45766
最终幻想7：圣子降临,131,8.2,45037
夺宝奇兵3,132,8.2,40153
处刑人,133,8.2,35984
野战排,134,8.2,28040
雌雄大盗,135,8.2,27525
喋血街头,136,8.2,25332
魁拔Ⅲ战神崛起,137,8.2,25136
追捕,138,8.2,19040
爱的曝光,139,8.2,18890
卡桑德拉大桥,140,8.2,16336
小倩,141,8.2,14794
龙争虎斗,142,8.2,13883
老人Z,143,8.2,5858
胜利之光,144,8.2,5346
机动警察剧场版1,145,8.2,4259
喊山,146,8.2,4190
变形金刚大电影,147,8.2,3741
迎春阁之风波,148,8.2,3242
天与地,149,8.2,3079
战略大作战,150,8.2,2723
红河,151,8.2,1833
疤面人,152,8.2,1628
侍,153,8.2,1112
摔角狂热 30,154,8.2,1034
复仇者联盟3：无限战争,155,8.1,489850
无双,156,8.1,470008
复仇者联盟,157,8.1,414530
碟中谍6：全面瓦解,158,8.1,328881
钢铁侠,159,8.1,310104
明日边缘,160,8.1,294712
后天,161,8.1,262884
