P_cname,data_type,p_affliation,p_description,p_eduction,p_gender,p_id,p_image,p_interest,p_languages,p_location,p_name,p_profession,p_specialties,s_add_post,s_add_state,s_add_street,s_add_suburb,s_address,s_afterhours,s_bulkbilled,s_clinic_name,s_description,s_id,s_mobile,s_opening_hours,s_phone,s_specialties,s_website
,Practitioner,,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<table border=""0"">
<tbody>
<tr>
<td>
<p>Lotus Medical Centre is excited to announce the addition of a Chinese medicine practitioner to our team!</p>
<p>Dr. Angel Qi Chen is a registered Acupuncturist and Chinese medicine practitioner. She gained her qualification from Endeavour College of Natural Health in a Bachelor of Health Science (Acupuncture).</p>
<p>She completed several Clinical internships at Anshan Tiedong Bone Disease Hospital and First Clinical College of Liaoning University of Traditional Chinese Medicine in<br>Liaoning Province, China; both of which she spent extensive training in a clinical hospital setting advancing her skills.</p>
<p>Dr. Chen was brought up in a family of established acupuncturist, Chinese herbalist and Qi Gong master, she has been exposure to the art of Chinese medicine since a young<br>child which led to inspire her to carry on the family legacy devoted to natural health and wellness.</p>
<p>Dr. Chen uses Acupuncture and Chinese medicine to benefit a wide range of health conditions, including/but not exclusive to:<br>•	Pain management<br>•	Sports injuries<br>•	Insomnia<br>•	Emotional complaints<br>•	Women’s health<br>•	Male and female fertility<br>•	Hair loss/alopecia<br>•	Digestive conditions<br>•	Weight loss<br>•	Respiratory disorders<br>•	Skin conditions<br>Appointments available from March 2017<br>To enquire about treatment with Dr. Angel Chen, please phone the clinic on 93801588</p>
</td>
</tr>
</tbody>
</table>
<p> </p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
												</div>",,Female,63613,https://healthengine.imgix.net/photos/doctors/doc63613-20170412043549.jpg?auto=compress&ixlib=php-2.1.0&or=0,,English,"Suite 3-4 / 200 Sydney Road, Brunswick, VIC 3056",Mrs Angel Chen,Female Practitioner,Chinese Medicine,3056,VIC,Suite 3-4 / 200 Sydney Road,Brunswick,Suite 3-4 / 200 Sydney Road,,,Lotus Medical Centre,,46920,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:00am - 07:00pm</dd>
                                <dt>Tuesday:</dt>
                <dd>09:00am - 07:00pm</dd>
                                <dt>Wednesday:</dt>
                <dd>09:00am - 07:00pm</dd>
                                <dt>Thursday:</dt>
                <dd>09:00am - 07:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:00am - 07:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">09:00am - 02:00pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(03) 9380 1588,,www.lotusmedicalcentre.com.au 
,Practitioner,,,,Female,51857,https://healthengine.imgix.net/photos/doctors/doc51857-20150629004422.jpg?auto=compress&ixlib=php-2.1.0&or=0,"Asthma, Chinese Herbal Medicine, Chinese Medicine, Digestive Conditions, Hay Fever, Insomnia, Pain, Stress Management, Women's Health",,"Suite 4 / 162 Wanneroo Road, Yokine, WA 6060", Shaima Al-Hudaid,Female Practitioner,"Acupuncture, Chinese Medicine",6060,WA,Suite 4 / 162 Wanneroo Road,Yokine,Suite 4 / 162 Wanneroo Road,,,Ping Ming Health Yokine,,33357,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Tuesday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Wednesday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Thursday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">09:00am - 06:00pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <dt>Public Holidays:</dt>
                <dd>09:00am - 06:00pm</dd>
                                <div></div>
        </dl>",(08) 9345 2668,,
,Practitioner,,,,Female,37759,https://d2g92a8pyizotc.cloudfront.net/images/profile/icon-90px-Profile-Placeholder.svg,,,"Suite 8 / 228 Clarendon St, East Melbourne, VIC 3002", Mary Bevin,Female Practitioner,Chinese Medicine,3002,VIC,Suite 8 / 228 Clarendon St,East Melbourne,Suite 8 / 228 Clarendon St,,,the acupuncture IVF support clinic,,41603,,,(03) 9078 5759,,
,Practitioner,,,,Female,72771,https://healthengine.imgix.net/photos/doctors/doc72771-20180507012537.JPG?auto=compress&ixlib=php-2.1.0&or=0,,,"4 Cascade Walk, Macleod, VIC 3085",Ms Julia Bartrop,Female Practitioner,"Acupuncture, Chinese Medicine, Massage",3085,VIC,4 Cascade Walk,Macleod,4 Cascade Walk,,,Rebalance Chinese Medicine,,67276,0412 789 772,,,,
,Practitioner,,,,,37746,https://d2g92a8pyizotc.cloudfront.net/images/profile/icon-90px-Profile-Placeholder.svg,,,"Suite 903 / 220 Collins Street, Melbourne, VIC 3000", Iva C. Baloun,,Chinese Medicine,3000,VIC,Suite 903 / 220 Collins Street,Melbourne,Manchester Unity Building,,,Iva C. Baloun,,41598,,,(03) 9654 7464,,
,Practitioner,,,,Female,37761,https://d2g92a8pyizotc.cloudfront.net/images/profile/icon-90px-Profile-Placeholder.svg,,,"Suite 6 / 266 Bolton Street, Eltham, VIC 3095", Rachel Berners,Female Practitioner,Chinese Medicine,3095,VIC,Suite 6 / 266 Bolton Street,Eltham,Suite 6 / 266 Bolton Street,,,Eltham Acupuncture & Chinese Herbal Medicine,,41607,,,(03) 9439 0833,,
,Practitioner,Australian Acupuncture and Chinese Medicine Association,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p>As the fourth generation of practitioners in her family, Julia has grown up influenced by a wealth of experience in traditional Chinese medicine. She graduated with honours from RMIT University with a double degree in Chinese Medicine and has gained extensive clinical experience from both the Beijing University of Traditional Chinese Medicine and Jiangsu Provincial Hospital of TCM in China.</p>
<p>Julia uses her gentle acupuncture skills, Chinese herbal medicine and diet therapy advice to treat a wide range of health issues. She has a high success rate in helping her patients to conceive both naturally and with IVF support. Julia is experienced with women’s health issues including PCOS, endometriosis, menopausal syndrome and all types of pain conditions, anxiety and emotional health, skin conditions, hay fever and irritable bowel syndrome. She is a member of AACMA.</p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
													<p>Dr Julia (Sijia) Zhu  is a female Acupuncturist and Chinese Medicine Practitioner in Malvern East, VIC who speaks English and Mandarin.</p>
								</div>","Bachelor of Health Science (Hons)                                                                        (BHSc(Hons))
                                    
                                                                            from  RMIT, Bachelor of Acupuncture                                                                        (BAc)
                                    
                                                                            from  RMIT, Honours Degree                                                                        (Hons Bsc Med Sci)
                                    
                                                                            from  RMIT",Female,51861,https://healthengine.imgix.net/photos/doctors/doc51861-20180521022745.JPG?auto=compress&ixlib=php-2.1.0&or=0,"Acne, Acupuncture, Acute Pain Management, Anxiety, Arthritis, Chinese Herbal Medicine, Chinese Medicine, Cupping Therapy, Depression, Diet & Lifestyle Advice, Dietary & Lifestyle Advice, Digestive Conditions, Dizziness, Endometriosis, Fatigue, Flu, Hay Fever, IVF & Fertility Support, Infertility, Insomnia, Irritable Bowel Syndrome, Menopause, Pain, Polycystic Ovarian Syndrome, Psoriasis, Skin Treatment, Stress Management, Thyroid Disorders, Weight Loss, Women's Health","English, Mandarin","167A Waverley Rd, Malvern East, VIC 3145",Dr Julia (Sijia) Zhu ,Female Practitioner,"Acupuncture, Chinese Medicine",3145,VIC,167A Waverley Rd,Malvern East,"167A Waverley Road, Malvern East, Melbourne, 3145",,,YongHe Chinese Medicine,,67337,0451632788,"<dl>
                        <dt>Monday:</dt>
                <dd>10:00am - 06:00pm</dd>
                                <dt>Tuesday:</dt>
                <dd>Closed</dd>
                                <dt>Wednesday:</dt>
                <dd>10:00am - 06:00pm</dd>
                                <dt>Thursday:</dt>
                <dd>10:00am - 06:00pm</dd>
                                <dt>Friday:</dt>
                <dd>10:00am - 06:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">09:30am - 02:30pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(03)99727243,,http://www.yonghechinesemedicine.com/
,Practitioner,,,,,37687,https://d2g92a8pyizotc.cloudfront.net/images/profile/icon-90px-Profile-Placeholder.svg,,,"Suite 512, Level 5 / 100 Victoria Pde, East Melbourne, VIC 3002", Danielle Baker,,Chinese Medicine,3002,VIC,"Suite 512, Level 5 / 100 Victoria Pde",East Melbourne,"Suite 512, Level 5 / 100 Victoria Pde",,,IVF Acupuncture,,41526,,,(03) 9650 4111,,
,Practitioner,,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
											<p>Dr David Yang is known to be a friendly, caring and approachable practitioner who provides his patients with honest communication and upfront advice to help achieve successful outcomes throughout their treatment plan. He holds a double degree in Chinese medicine and human biology with honours from RMIT University. David’s interest in Chinese medicine originates from growing up and seeing his grandfather, a senior practitioner of Chinese medicine, help those around him using natural methods.</p>
<p> </p>
<p>David is passionate and experienced in providing natural treatments for a wide range of issues including pain, musculoskeletal tension, long-term stress, anxiety and depression symptoms, low immunity, men’s and women’s health issues, digestive issues, internal organ disorders and natural fertility support including IVF support. Furthermore, he also enjoys working with younger patients on children’s health issues. Outside of medicine, David enjoys looking for healthy food and travelling to new places abroad. David is a member of AACMA and also fluent in Korean.</p>										</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
												</div>",,Male,73997,https://healthengine.imgix.net/photos/doctors/doc73997-20180710020206.jpg?auto=compress&ixlib=php-2.1.0&or=0,,"English, Korean","Level 7 / 1 Elizabeth Street, Melbourne, VIC 3000",Dr David Yang,Male Practitioner,Chinese Medicine,3000,VIC,Level 7 / 1 Elizabeth Street,Melbourne,Level 7 / 1 Elizabeth Street,,,QV Medical - Elizabeth St,,64765,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:30am - 04:30pm</dd>
                                <dt>Tuesday:</dt>
                <dd>Closed</dd>
                                <dt>Wednesday:</dt>
                <dd>Closed</dd>
                                <dt>Thursday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:00am - 05:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">Closed</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(03) 9662 2256,,http://www.qvmedical.com.au/
,Practitioner,,"<div class=""description-content practitioner-description"">
    				<h2>Overview</h2>
					<div class=""description-content"">
																					</div>
					<a href=""javascript:;"" class=""more-area-btn"">Read more</a>
												</div>",,Female,78690,https://d2g92a8pyizotc.cloudfront.net/images/profile/icon-90px-Profile-Placeholder.svg,"Acupuncture, Massage Therapy","English, Chinese","61 Glenferrie Road, Malvern, VIC 3144",Dr Wenjing Sun,Female Practitioner,"Acupuncture, Chinese Medicine, Massage",3144,VIC,61 Glenferrie Road,Malvern,61 Glenferrie Road,,,Green Element Wellness,,69618,,"<dl>
                        <dt>Monday:</dt>
                <dd>09:30am - 06:00pm</dd>
                                <dt>Tuesday:</dt>
                <dd>09:30am - 06:00pm</dd>
                                <dt>Wednesday:</dt>
                <dd>09:30am - 06:00pm</dd>
                                <dt>Thursday:</dt>
                <dd>09:30am - 06:00pm</dd>
                                <dt>Friday:</dt>
                <dd>09:30am - 06:00pm</dd>
                                <dt><strong style=""font-weight:bold;"">Saturday</strong>:</dt>
                <dd><strong style=""font-weight:bold;"">09:30am - 02:00pm</strong></dd>
                                <dt>Sunday:</dt>
                <dd>Closed</dd>
                                <dt>Public Holidays:</dt>
                <dd>Closed</dd>
                                <div></div>
        </dl>",(03) 9943 9933,,https://www.Greenelementwellness.com.au
