_contact,_email,_fax,_tel,_website,business_address,business_id,business_name,business_tel,details_html
Dr Stephen Xu,support@bestong.com.au,0398054388,0398054309,http://www.epworth.org.au,"888 Toorak Rd, Camberwell, VIC 3124",9659,Dr. Stephen Xu Epworth Hospital,0398054309,"<p class=""details"">心理精神专家医生Consultant psychiatrist,皇家澳纽心理精神疾病学院院士 FANZCP,  墨尔本大学心理疾病学硕士，二十年前就已获中国主治医生资格，25年中外行医经验，流利中英文。 治疗诊断：心理疏导调节， 失眠，心身疾病，各类焦虑抑郁症，神经衰弱， 躁狂 抑郁双极症,精神分裂症稳定期 ，小儿多动症（8岁以上），青少年心理问题，提高情商，学习及处理问题 能力，记忆力衰退，老年痴呆,临终关怀等。 使用药物及心理辅导，精神分析，禅，催眠，行为认知疗法 。 <br>
私立医院，  恕 不诊治急重症，医闹暴力倾向患者。<br>
可使用 Medicare，TAC，  workcover，须由家庭医生转诊。扣除医保后 费用低 （医学法律报告除外），部分患者 甚至可以免费（bulk bill item 291）。无Medicare 需付全费，然后向保险公司索赔。 有保险者可安排入住私立医院。  <br>
医院前台可能不会说中文， 可请家庭医生将转诊信传真给我，附上您的联系方式。保留选择病人权力.如无法安排您就诊 ，我们会向家庭医生说明情况。 <br>
门诊病人可在医院免费泊车两小时,<br><br></p>"
,,,(03)9328 3383,,"605 Elizabeth Street, Melbourne, Vic, 3000",6838,北墨尔本诊所,(03)9328 3383,"<p class=""details"">Mon,Thu, Fri: 9:30am-5:30pm; Tue: 9:30am-1:30pm; Sat:9:30am-4:30<br><br></p>"
,,,02 9415 2338,,"SUITE 4, FL. 1, 379 VICTORIA AVE, CHATSWOOD NSW 2067",1495,葉偉生醫生 IP WILSON W.,02 9415 2338,"<p class=""details""><br><br></p>"
,inquiries@psychocare.org,,0413 698 564,,"Melbourne, VIC 3000",6957,墨尔本博爱心理咨询及治疗,0413 698 564,"<p class=""details"">墨尔本博爱心理咨询及治疗简介 随着移民及留学人员的增长，墨尔本地区华人对心理咨询及治疗服务的需求与日俱增，但由于墨尔本华人心理咨询师的匮乏,尤其说普通话的心理从业人员的短缺, 为广大华人的生活带来不便，一部分人甚至专程回国寻求心理医生的帮助，但是这样颇显杯水车薪。为了满足华人的这一需求，墨尔本博爱心理咨询于2011年2月正式面向广大华人朋友，提供专业的心理咨询及治疗服务。我们的服务内容包括抑郁、焦虑、家庭教育、感情关系、情绪控制、行为控制、自信训练等一些列心理健康问题。欢迎华人朋友来电来函进行垂询及预约。我们也非常欢迎大家能够对我们的服务提出宝贵意见。<br><br></p>"
,,,（03）9560 7366,http://www.kingswaymedicalclinic.aom.au,"Melbourne, VIC 3000",6956,新家医诊所,（03）9560 7366,"<p class=""details"">荣耀家医诊所位于Glen Waverley火车站对面,交通便利. 提供多种国语言服务: Dr.John (普通话，台语) Dr.Yu (普通话,粤语) Dr.Hong (国语,粤语,马来语,客家语) Dr.Kim (韩语,基本中文) Dr.Amalan (印度语)<br><br></p>"
,,,02 9904 8993,,"362 VICTORIA AVE, CHATSWOOD NSW 2067",1492,鄭嘉銘醫生 CHENG CHARLES,02 9904 8993,"<p class=""details""><br><br></p>"
,,,0499 654 438,,"990 Victoria Road, West Ryde, NSW 2114",4859,陸瑋 - Wei Lu,0499 654 438,"<p class=""details"">Wei Lu 陆玮<br>
<br>
澳大利亚注册心理咨询师(Psychologist)<br>
本科: 西悉尼大学(UWS)心理学 - BPsych<br>
硕士: 悉尼大学(USYD)大脑与思维科学 - MBMSc<br>
澳大利亚心理学协会准会员 - Assoc. MAPS<br>
心理咨询师注册号 (AHPRA Registration No.): PSY0001153315<br>
<br>
主要咨询/治疗内容：<br>
• 抑郁<br>
• 焦虑<br>
• 睡眠问题<br>
• 压力与情绪相关问题<br>
• 长期神经痛<br>
• 长期疲劳<br>
• 及其他生活，学习，工作方面有关困扰，等<br>
<br>
收费(只收现金)：<br>
周一至周五 - $83.25, 凭收据Medicare 100%报销<br>
周六 - $105.00, 凭收据Medicare报销$83.25 (即只需承担差价$21.75)<br>
<br>
地址：<br>
West Ryde Medical Centre（西莱德医疗中心）<br>
990 Victoria Road<br>
West Ryde, NSW 2114<br>
West Ryde Medical Centre距离West Ryde火车站约200米，步行2分钟即达。<br>
<br>
咨询/预约电话：0499 654 438 (中文/英文)<br>
<br>
<br>
认知误区：有病的人才会去心理咨询吗？<br>
<br>
寻求心理咨询的人绝大部分的人都是心理健康的正常人。他们在生活中遇到了自己无法解决的问题，比如学习问题丶人际交往问题丶恋爱问题丶家庭关系问题丶子女教育问题丶职业选择等问题。这些问题都是我们正常人生活的一部分，寻求专业人士的帮助是他们寻求心理咨询的主要动机。<br>
<br>
心理咨询对你有哪些帮助?<br>
<br>
心理咨询不是替来访者解决问题，而是引导人自助。心理咨询也不为来访者做选择丶做决定，而是引导其自己负起责任。通过心理咨询，来访者可以在以下方面获得助益，也可以此作为判断心理咨询效果的部分标准：具体地讲，心理咨询可以在几个个方面为你提供支持和帮助：<br>
1丶给你提供一个安全私密的空间倾诉空间，让你宣泄心理的痛苦与烦恼；<br>
2丶教会你管理自己的情绪，使你拥有积极稳定的情绪，避免罹患各种情绪障碍，如抑郁症丶躁狂症等；<br>
3丶帮助你学会正确认识自我和周围世界，使你拥有完善的认知体系，避免因为错误归因而导致种种失败；<br>
4丶帮助你恢复爱的能力，使你学会幸福地工作丶幸福地生活丶幸福地去爱；<br>
5丶使你拥有健全的人格，摆脱自卑丶自恋丶自闭等不良心态，从而更好地投入到学习丶工作和生活中去；<br>
6丶帮助你摆脱因失业丶失恋丶离异造成的痛苦，教会你应付生活中种种挫折的方法；<br>
7丶为你提供职业咨询指导，帮助你在人生重大问题上正确独立地抉择；<br>
8丶帮助你度过人生各个发展阶段的种种危机，平安地完成人生的发展任务。  <br><br></p>"
,,,02 9808 3333,,"990 VICTORIA RD, WEST RYDE NSW 2114",3303,WEST RYDE 醫療中心 WEST RYDE MEDICAL CENTRE,02 9808 3333,"<p class=""details""><br><br></p>"
,,,（03）9013 9791,,"471 CENTRE RD,Bentleigh, VIC 3204",6958,MEDI7 BENTILEIGH,（03）9013 9791,"<p class=""details"">我们非常高兴地向您推荐: DR. QIAN ZENG (国语) 在本诊所为华人朋友提供诊疗服务<br><br></p>"
jane,,,（03）9521 1777,http://www.avenueplasticsurgery.com,"20 The Avenue, Windsor VIC 3181",6959,整形医院AVENUE,（03）9521 1777,"<p class=""details"">假体隆胸，抽脂减肥，眼睛鼻子整形<br>
<br>
肉毒杆菌注射<br>
<br>
镭射祛斑，脱毛<br><br></p>"
