_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,,,0403 077 347,,"Brisbane, QLD 4000",Traditional Chinese Therapy,7681,型男按摩舒压,,"<p class=""details"">华人服务，请自备场地<br><br></p>"
,,,07 3343 9115,,"Shop 1348 (near ALDI), Westfield Garden City",Traditional Chinese Therapy,6081,Massage Philosophy 易筋,,"<p class=""details"">轻松按摩，解除疲劳，养生保健。<br><br></p>"
,,,07 3901 5288 / 0430 233 233,,"42 Keats Street, Cannon Hill, QLD 4170",Traditional Chinese Therapy,7679,北京济生堂中医诊所,,"<p class=""details"">许键鹏医生坐诊，弘扬国医，济世养生。<br>
营业时间：周一至周六 上午9:00 - 晚上5:00<br><br></p>"
,,,0401 189 298,,"Shop A, 1 Nerang St, Southport QLD 4215",Traditional Chinese Therapy,6157,孙氏针灸诊所,,"<p class=""details"">中医传统世家，黄金海岸首选。<br><br></p>"
,harmonymassagetherapy@hotmail.com,,07 5679 2931,,"Lot170, 24-26 Queensland Ave, Broadbeach, QLD, 4218",Traditional Chinese Therapy,9825,三和康乐中心,,"<p class=""details"">本店是一所以诊治，康复，养生，保健为一体的大型休闲康乐中心。<br>
本中心采取综合治疗体系：包括，针灸疗法，拔罐疗法，艾灸疗法，刮痧疗法，刺络放血疗法，穴位埋线疗法（长效针灸），中医推拿疗法，保健按摩疗法，经络神奇瘦减肥疗法，足底按摩疗法及桑拿熏蒸疗法。<br><br></p>"
,,,0403 262 828,,"896 Bounday Rd, Coopers Plains, QLD 4108",Traditional Chinese Therapy,6074,扶正针灸,,"<p class=""details"">中国传统针灸，推拿。<br><br></p>"
,,,07 3345 5777 / 0409 551 588,,"shop33,Sunnypark Shopping Centre,Sunnybank, QLD 4109",Traditional Chinese Therapy,7277,Nature's Clinic美麗經典,,"<p class=""details"">本诊所坚持使用世界第一品牌法国巴黎sothys系列产品<br><br></p>"
,,,（07）3345 8383,,"shop 6a Gowan Rd,Sunnybank, QLD 4109",Traditional Chinese Therapy,7168,养元堂,,"<p class=""details"">针灸、养生、推拿、足疗<br>
营业时间：周一至周日  10:00am - 10:10pm<br><br></p>"
LESLIE,,,0413 068 396 / 0416 865 110,,"Brisbane, QLD 4000",Traditional Chinese Therapy,7680,中国术按摩,,"<p class=""details"">解百痛<br><br></p>"
,,,07 3345 2494 / 0430 777 909,,"8/6 Zamia St,Sunnybank, QLD 4109",Traditional Chinese Therapy,7280,Healing Health&Beauty Clinic,,"<p class=""details"">周一至周六 上午9时至下午7时<br>
电话预约<br><br></p>"
,,,07 3344 6980  / 0402 518 018,,"530 Beenleigh Rd, Sunnybank QLD 4109",Traditional Chinese Therapy,5991,护元堂中医诊所,,"<p class=""details"">资深中医专家，中国传统针灸。<br><br></p>"
,,,07 3349 5484 / 0432 428 784,,"658 Kessels Rd,Upper Mount Gravatt, QLD 4122",Traditional Chinese Therapy,7276,红茶馆休闲按摩会所,,"<p class=""details"">专业台式<br>
台式踩背<br>
脊椎归为<br>
韩式、中式传统精油按摩<br>
乾式推拿<br><br></p>"
