_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
成功心理咨询Success Counselling,info@successcounselling.org,Successcounselling（微信号）,0452 488 168,http://www.successcounselling.org,"Robertson, QLD 4109",Medical & Healthcare,9267,悉尼墨尔本布里斯班心理辅导咨询师- 成功心理咨询辅导,,"<p class=""details""><img src=""Photo_links/Brisbane/9267_V12.jpg"" class=""logo"" width=""110"" alt=""悉尼墨尔本布里斯班心理辅导咨询师- 成功心理咨询辅导 Company Logo"">【播種幸福 - 心理咨询师谈婚姻、育儿、亲子】作者<br>
<br>
                     澳洲注册专业咨询师<br>
<br>
***婚姻/亲子关系咨商辅导；***心理咨询及治疗<br>
<br>
当面或电话咨询辅导，面向全澳华人<br>
为您的身心健康、家庭幸福，排忧解难，提供良方<br>
<br>
电話： 0452 488 168 ; 0438 668 689（国/英語）<br>
微信： Successcounselling<br>
网站： www.successcounselling.org<br>
地址： 布里斯班<br>
注册号 ABN 29 123 913 091<br><br></p>"
,,,07 3344 7880（英语、国语、粤语）,,"Shop 7,168 Gowan Rd,Sunnybank Hills, QLD 4109",Medical & Healthcare,7453,高云路西医全科,,"<p class=""details"">本中心拥有高端医疗设备，设计现代，环境优雅，欢迎您的光临！<br>
内、外、妇、儿、皮肤、耳鼻喉，免疫预防针。<br>
内设免费抽血、验血、营养师、运动物理治疗师。<br>
营业时间：<br>
星期一至星期五：8:30am - 5:30pm<br>
星期六：12pm - 4pm<br><br></p>"
花仙子,info@brisbanetongru.com,eshaojie | lihonghua800,0444 578 241 | 0401 073 216,http://www.brisbanetongru.com,"27 Michigan Cres，Parkinson, Parkinson, QLD 4115",Medical & Healthcare,10709,布里斯班花仙子通乳催奶产后修复,,"<p class=""details""><img src=""Photo_links/Brisbane/10709_V16.jpg"" class=""logo"" width=""110"" alt=""布里斯班花仙子通乳催奶产后修复 Company Logo"">无痛开奶，堵奶通乳，产后催奶，科学回奶<br>
<br>
产后修复 包括骨盆修复，子宫养护，腹直肌修复，淋巴排毒，固本培元，全身经络疏通等<br>
<br>
很多妈妈都会出现产后无奶，堵塞，乳房胀痛，内有肿块，硬块？孩子吸不出奶？<br>
<br>
如果您有以上问题，我们可以帮您。<br>
<br>
有效的乳房按摩可以缓解产后乳房胀痛，疏通淋巴经络，调节身体机能，进而达到回复乳房正常产奶机能的作用。<br>
<br>
我们可以提供专业手法的乳房按摩服务，多年经验，已经帮助过多位亲人，朋友和患者解决了燃眉之急，我们的服务包括无痛开奶，堵奶通乳，产后催乳，科学回奶等，并提供免费的哺乳期指导与乳房健康咨询。<br>
<br>
为了帮助更多妈妈们咨询和交流哺乳育儿经验，我们还建立了一个花仙子育儿哺乳交流群，目前已有数百人<br>
<br>
按摩工作室地址在布里斯班 Parkinson<br>
另外我们也提供上门按摩服务<br>
<br>
请登录我们的网站查看用户评价，服务与价格套餐等信息：<br>
<br>
www.brisbanetongru.com<br>
<br>
微信号：eshaojie | lihonghua800    <br>
<br>
电话：0444 578 241 | 0401 073 216<br><br></p>"
,,,1800 877 924 / 0421 354 533,,"3/1420 Logan Rd,Mount Gravatt, QLD 4122",Medical & Healthcare,7275,Vision Psychology,,"<p class=""details"">服务范围<br>
个人：情绪处理、哀伤处理、个人成长、人际关系、压力和焦虑处理、精神状况、<br>
家庭：婚姻辅导、家庭关系<br>
儿童及青少年：子女管教<br><br></p>"
Claire Pang,claire@chinesepsychologistbrisbane.com,,1800 977 924 / 0421 354 533,https://www.chinesepsychologistbrisbane.com,"1420 Logan Road, Mount Gravatt, QLD 4122",Medical & Healthcare,10974,布里斯班心理医生心理治疗 Vision Psychology,,"<p class=""details"">Claire Pang (彭晓红) 简介<br>
Clinical Psychologist<br>
​<br>
B Psych (Hons),<br>
Masters of Clinical Psychology<br>
​<br>
Claire 拥有澳州臨床心里学硕士並且是澳洲心理学会注册心理学家。作为一名临床心理学家，她接受了六年大学的相关系统知识学习及兩年实习，在理解人类发展、人格和心理健康问题方面接受过高度专业化的培训。Claire 曾在政府医院Mater Hospital 腫瘤科，Nambour Hospital 儿科参加专業实习。毕业后, 她一直在私人診所提供临床心理服務,具備丰富的治疗經验，擅长治疗日常心理困扰和复杂精神病，还可以为客户撰寫工伤、創伤及移民治疗進展評估報告。<br>
 <br>
Claire 具有双語双文化背景, 在中国和香港成长, 澳洲生活了三十年. 掌握流利国语粤语英语，作为澳洲華人，她亲身体验了移民的艰辛和复杂性，了解个人和家庭在澳州生活遇到的各种困难。多年來Claire為海外華人提供心理辅导,解决婚姻问题/家庭治疗和青少年心理发展和情绪行為问题。<br>
<br>
<br>
快乐的人生是從心理健康开始​<br>
​<br>
很多華人不寻求心理輔导的主要原因在於缺乏对这方面的了解或羞于自已有心理障碍。長期心理困扰容易影响日常生活功能、人际关系和多种身体健康問题。及时寻求心理健康服务可以減轻甚至消除不必要的痛苦及精神障碍带來的負面影响。 <br>
<br>
布里斯班华人临床心理医生提供专业心理服務，推广海外華人的心理健康和改善他们生活质量<br>
(精通普通話，广东话）<br>
​<br>
Claire Pang<br>
Clinical Psychologist<br>
Mandarin &amp; Cantonese Counselling      <br>
<br>
诊所地点<br>
 <br>
華人布里斯班南区<br>
Vision Psychology<br>
1420 Logan Road, Mount Gravatt, QLD 4122<br>
敬请预约<br>
電话: 1800 977 924 <br>
​<br>
布里斯班市中心<br>
Brisbane Wellbeing Clinic <br>
Level 1, Eward Street<br>
Brisbane (Near Queens Plaza &amp; Brisbane Central Station) <br>
敬请预约<br>
電话: 07 3532 8954 <br>
 <br>
如有问题请联系Claire <br>
Mobile : 0421 35 4533 <br>
Email: claire@chinesepsychologistbrisbane.com<br><br></p>"
,,,07 3345 3440,,"49 Dixon Street,Sunnybank, QLD 4109",Medical & Healthcare,7511,FULL SMILE DENTAL,,"<p class=""details"">牙齿保健、牙齿美容、牙科手术、纯白补牙（免用水银）<br>
9 Mitchell Street,Acacia Ridge,Q4110  电话：07 3277 4944<br>
513 Broadwater Road,Mansfield,Q4112  电话：07 3422 2460<br><br></p>"
,,,07 3800 2127,,"shop 11,Plains Junction Shopping Centre,40 Browns plains Rd,Browns Plains, QLD 4118",Medical & Healthcare,7460,BROWNS PLAINS牙科中心,,"<p class=""details"">提供最新种植牙设备和技术。<br>
用你的语言为您服务，英语、国语、粤语、客家话<br>
服务项目：补牙/拔牙/洗牙/假牙/智齿拔牙/矫正牙齿/种植牙齿/全瓷牙冠/根管治疗/牙齿漂白<br>
周一至周六开诊<br><br></p>"
,,07 3344 1240,07 3344 1220,,"21D Market Square,Cnr.Mains Rd &amp; McCullough St,Sunnybank, QLD 4109",Medical & Healthcare,7498,Dream Smiles Orthodontics,,"<p class=""details"">传统金属及透明牙套齿列矫正<br>
全透明牙套<br>
矫正前预备治疗<br>
全瓷牙冠及矫正<br>
大多数私人保险均可使用<br>
周六、周日全天看诊<br><br></p>"
,,07 3345 6999,07 3345 6888,,"Suit 16,Sunnybank Times Square,250 McCullough St,Sunnybank, QLD 4109",Medical & Healthcare,7345,T2 PHARMACY 時代藥房,,"<p class=""details"">营业时间：<br>
星期一至五8:30am - 5:30pm<br>
星期六9:00am - 12:00pm<br><br></p>"
,,,07 3711 3920,http://www.adccentre.com.au,"29A/662 Compton Rd,Calamvale, QLD 4116",Medical & Healthcare,7413,ADCC ENTRE,,"<p class=""details"">贴心的服务，满意的价格！<br>
华人医师会说中文和英文<br>
牙齿检查、洗牙、补牙、美白<br>
精通矫正牙齿，提供值牙、牙套及隐形牙箍等服务<br><br></p>"
