_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
Stever  Hu    &amp;   Sherry   Wang,sherrywangshuying@gmail.com,03 98528966    QQ:584518020    Wechat:  wangshuying502,03 98528688        04 01902177,http://dentalinnovationgroup.com.au,34 church street Hawthorn VIC 3122,Denture & Dentists,9672,Dental Innovation Group PTY LTD,03 98528688        04 01902177,"<p class=""details""><img src=""Photo_links/Melbourne/9672.jpg"" class=""logo"" width=""105"" alt=""Dental Innovation Group PTY LTD Company Logo"">03 98528688   创新齿科集团总结三十年齿科治疗经验，综合最新齿科科技，聚集各个专业牙科医生，为您提供一站式齿科服务。特设种值牙中心并推出保用终生承诺；小儿牙科中心（资深擅长小儿心理牙医并配有无痛电脑注射仪及笑气，免除孩子看牙的恐惧感）；齿科矫形中心；美容齿科中心（烤瓷牙冠和牙齿漂白）及活动假牙中心；并专长困难根管治疗；困难阻生齿拔除及高难度的活动假牙修复；详情电询：03  98528688<br>
<br>
地址：34 church  street Hawthorn  VIC3122  MELBOURNE<br><br></p>"
,,,03 9898 6701 / 0404 033 910,,"2 Kangerong Rd,Box Hill, VIC 3128",Denture & Dentists,7788,苏良裕牙科医师,03 9898 6701 / 0404 033 910,"<p class=""details"">新加坡大学牙科学学士、伦敦大学牙床专业科硕士、英国皇家牙科预防学院士<br>
保养牙科、义齿牙冠牙桥、美容牙科、种植牙、根管治疗、口腔外科、预防牙科、假牙修复。<br><br></p>"
,,,03 9558 5756,,"23 Balmoral Ave,Springvale, VIC 3171",Denture & Dentists,7783,牙医诊所,03 9558 5756,"<p class=""details"">诊疗项目：儿童牙科、拔智慧齿、美容牙科、牙冠牙桥、无痛拔牙、根管牙科、牙周病科、种植牙科、预防牙科、洁牙美白、矫正牙科。<br>
诊疗时间：周一至周六 8:30am - 6:00pm<br><br></p>"
,,,03 9899 2980,,"1st.Floor 587-589 Station St, Box Hill, VIC 3128",Denture & Dentists,7782,张牙医务所,03 9899 2980,"<p class=""details"">我们提供以下治疗服务：<br>
儿童牙科、矫正牙科、美容牙科、预防牙科、根管牙科、保养牙科、牙周病科、种植牙科、牙冠牙桥、无痛拔牙、拔智慧齿。<br>
诊疗时间：周一至周五 10am - 6pm 周六 9am - 1pm<br><br></p>"
,,,03 9857 7157 / 03 9857 3188,,"271 Belmore Ed, Balwyn North, VIC 3104",Denture & Dentists,7784,姜军牙医诊所,03 9857 7157 / 03 9857 3188,"<p class=""details"">澳大利亚注册牙医、澳洲牙医协会会员、澳洲悉尼大学医学硕士、中国浙江大学临床口腔医学学士、澳洲医学科学家。<br>
新添置：1、最先进的德国sirona综合牙科治疗系统 2、最先进的德国Vistascan数码X光摄片系统 3、最新的德国Sirocam口腔内窥镜<br>
门诊：牙体保存科、牙周病科、牙内科、牙外科、牙科修复、牙科预防、牙科美容。<br><br></p>"
,,,03 9874 2075 / 03 9874 2502,,"suite 5,329 Mitcham Rd, Mitcham, VIC 3132",Denture & Dentists,7781,李和平牙医,03 9874 2075 / 03 9874 2502,"<p class=""details"">澳洲注册牙医、澳洲牙科医学会员、中国山东医科大学牙医学士硕士、墨尔本大学牙医学博士。<br>
服务项目：<br>
1、补牙、拔牙、镶牙<br>
2、根管治疗<br>
3、牙冠牙桥<br>
4、洁牙美白<br>
5、牙齿美容<br>
6、种植牙<br>
7、拔智慧齿<br>
8、牙龈病<br>
9、儿童牙医<br>
门诊时间：周一至周五9:00am - 5:30pm 周六 9:00am - 5:00pm<br><br></p>"
,,,03 9600 1123,http://www.citydentalcare.com.au,"200 Spencer Dtreet,Melbourne, VIC 3000",Denture & Dentists,7786,CITY DENTAL CARE,03 9600 1123,"<p class=""details"">全新的现代化诊所<br>
1、电脑化管理系统，完全摒弃传统的手写病例。<br>
2、软组织镭射手术刀，减少伤口流血，降低感染几率，促进愈合。<br>
3、数码X线机，不需要胶片，最少放射线计量，最大限度降低对人体和环境的危害。<br>
4、数码化模型调配机，保证最精确的模型灌制，确保牙冠，牙桥及义齿的准确，密合。<br>
5、数位镭射牙齿漂白仪，90分钟快速漂白牙齿。<br>
七天开业，可电话或网上预约<br><br></p>"
梁明,,,03 9813 4566 / 9813 4562,http://www.auburndental.com.au,"263 Auburn Rd, Hawthorn, VIC 3122",Denture & Dentists,7787,家庭和美容牙科,03 9813 4566 / 9813 4562,"<p class=""details"">华西医科大学牙科学学士<br>
1、普通牙科、牙科急症、旋转式根管治疗、种植牙、局部矫正箍牙。<br><br></p>"
,,,03 9939 4859 / 0420 967 092,,"548 Camberwell Rd,Camberwell, VIC 3124",Denture & Dentists,7790,欧亚牙科,03 9939 4859 / 0420 967 092,"<p class=""details"">欧亚博士有20余年中澳牙科临床经验，全科牙医，技术全面，细致耐心，亲切友善。<br>
治疗专案：牙科预防及保健洁牙、补牙、牙周病治疗、根管治疗、拔牙、儿童牙病、牙科美容。<br><br></p>"
,,,03 9858 3340,,"281 Thompsons Rd, Templestowe Lower, VIC 3107",Denture & Dentists,7789,陈慧敏牙医,03 9858 3340,"<p class=""details"">1、澳洲注册牙医<br>
2、墨尔本皇家牙科医院主治牙医师<br>
3、原上海第二医科大学附属第九人民医院口腔科主治医师<br>
具有十九年牙科临床经验<br>
治疗项目：补牙、拔牙、镶牙、洁牙、儿童牙科、根管治疗、美容牙科。<br><br></p>"
