_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
,,,07 3344 7683,,"5 Werona St,Sunnybank, QLD 4109",Hairdresser,7538,亚美改衫及熨衫服务,,"<p class=""details"">准时交货，手工精细，尽责老实，地点适中，六天营业，逢星期三休息<br>
上午8:00至下午6:00<br><br></p>"
,,,07 3216 9294,,"105A, 250 McCullough St, Sunnybank QLD 4109",Hairdresser,5976,Ja~ee Hair Salon,,"<p class=""details"">提供专业潇洒的发型设计。<br><br></p>"
,,,07 5539 4668 / 07 5539 9963,http://www.gcdrycleaners.com.au,"shop 10,Bundall Circle,Ashmore Rd&amp;Upton Street,Bundall, QLD 4217",Hairdresser,7715,GOLD COAST DRY CLEANING,,"<p class=""details"">干洗，洗衣，熨烫，修补和修改，婚纱，窗帘<br><br></p>"
,,,0431 105 953 / （07）3852 2580,,"243 Brunswick St,Fortitude Valley, QLD 4006",Hairdresser,7174,GANGNAM STYLE,,"<p class=""details"">韩国专业发型师<br><br></p>"
,,,0405 125 851,,"Cnr Fortescue St &amp; Boundary St, Spring Hill QLD 4000",Hairdresser,6115,DiVine 发妆屋,,"<p class=""details"">等离子烫发，卷发，染色。<br><br></p>"
刘小姐,,,0410 248 571,,"Brisbane, QLD 4000",Hairdresser,7377,Fermi 改衣、烫衣,,"<p class=""details"">任何衣、裤/裙改短<br><br></p>"
,,,0423 205 781,,"gartford st, robertson QLD 4109",Hairdresser,6131,husk hair,,"<p class=""details"">剪发烫发，发型设计。<br><br></p>"
,,,0450 211 899,,"Gold Coast, QLD 4217",Hairdresser,6149,Glamour Concept Hair and Makeup,,"<p class=""details"">靓丽肌肤，秀发出众。<br><br></p>"
,,,07 3257 3052,,"216 Brunswick St, Fortitude Valley QLD 4006",Hairdresser,6029,Super Star Hair,,"<p class=""details"">专业美发， 发型设计。<br><br></p>"
,,,07 3219 5522,,"Brisbane, QLD 4000",Hairdresser,5933,Color Rain Hair Salon,,"<p class=""details"">专业发型设计。<br><br></p>"
