_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
小卖铺,support@bestong.com.au,zhongaoxiaomaipu2,,,"Mascot. Sydney, Mascot, NSW 2020",Supermarket,12568,小卖铺,,"<p class=""details"">商店介紹<br>
小卖铺以顾客满意为最高指导原则，提升店铺形象及降低经营成本，让顾客享受到更大力度的优惠。<br>
除了提供丰富的商品组合及优质的服务品质外，建立完善购物环境，让顾客享有尊贵等级全新感受。<br>
小卖铺除提供原有服务方式，疫情当前更配合政府防疫政策“Stay At Home”，线上购物让大家在家就能当上救世主保卫家园，足不出户、轻松购物。<br>
成立以来，相信唯有稳健、诚信，才是永续经营的基础。<br><br></p>"
,,,02 9831 8889,,"SHOP2, 111 MAIN ST, BLACKTOWN NSW 2148",Supermarket,636,萬達超級市場,,"<p class=""details""><br><br></p>"
KAKABUY,help@kakabuy.com.au,kakabuy01,0481295118,http://www.kakabuy.com.au,"Level 1 / 13 Carter St, Lidcombe, NSW, 2141, Australia",Supermarket,10658,kakabuy PTY LTD,,"<p class=""details""><img src=""Photo_links/Sydney/10658_V1.jpg"" class=""logo"" width=""110"" alt=""kakabuy PTY LTD Company Logo"">澳洲卡卡网——生活在澳洲，购物到卡卡<br>
https://www.kakabuy.com.au/<br>
<br>
<br>
没来澳洲之前，对澳洲全是美好的遐想。来了澳洲以后才知道它还有个小名叫土澳。在这里，即使你逛遍商场，也很难买全你最爱的日韩美妆。难道在踏上澳洲土地的那一刻就预示着要变得和它一样‘土’吗？难道以后的变美大业都只能依靠澳洲日韩代购吗？<br>
<br>
别担心，你的好友KAKABUY已上线。这个身在澳洲却会说中文的电商萌新，为了引起你的注意，可是做足了准备。<br>
<br>
它可以是你在澳洲的日韩美妆店，帮你在‘土澳’继续精致，也可以是你在澳洲的零食库，满足你的口腹之欲，当然，它还可以更贴近你的生活，成为你在澳洲的网上亚洲超市。<br>
<br>
成立于2018年的KAKABUY（澳洲卡卡网https://www.KAKABUY.com.au/），虽然在运营时间上是个‘萌新’，但每个见到它的人都会有种‘一见如故’的感觉。KAKABUY（澳洲卡卡网），专注的是为澳洲华人提供最新最齐全的亚洲商品。<br>
<br>
<br>
产品&amp;品牌<br>
身在澳洲，不管你是想念在国内爱吃的零食，还是想要探寻日韩新味道；不管你是想要搜索你爱用的日韩美妆护肤，还是发现新奇好用的生活小物，来KAKABUY（澳洲卡卡网）逛一逛，你一定不会失望。<br>
<br>
窝在家里刷剧想来点零食？三只松鼠，良品铺子和百草味的坚果蜜饯；洽洽的瓜子；汤姆农场的杏仁；海太，乐事，单身狗，卡乐B的薯片；上好佳的虾片农心的虾条、洋葱圈还有可爱的张君雅小妹妹，KAKABUY（澳洲卡卡网https://www.KAKABUY.com.au/），满足你的胃。<br>
<br>
身在异乡怀念童年的味道？旺旺的仙贝，QQ糖；乖乖的弯脆果；喜之郎的果冻；大白兔的奶糖, 椰树椰汁，还有卫龙的辣条，KAKABUY（澳洲卡卡网https://www.KAKABUY.com.au/），为你解馋。<br>
<br>
偶尔犯懒不愿下厨房开火？小龙坎的自热火锅，韩国三养的火鸡面，金牌干溜的重庆小面、酸辣粉，呷哺呷哺、海底捞的火锅底料，日清的方便面，KAKABUY（澳洲卡卡网https://www.KAKABUY.com.au/），帮你偷懒。<br>
<br>
想面面俱到打点国外生活？花王的洗衣机清洗剂，小林制药的冰箱除味剂，UYEKI的专业除螨剂，KAKABUY (澳洲卡卡网https://www.KAKABUY.com.au/)，为你考虑周全。<br>
<br>
在变美的道路上不能停歇？从面膜，护肤，彩妆到个人洗护；CPB，IPSA，Albion，雪花秀，城野医生，兰芝，安耐晒，CANMAKE，KISSME，KATE，ETUDE HOUSE, KAKABUY（澳洲卡卡网https://www.KAKABUY.com.au/），对你的变美事业从不懈怠。<br>
<br>
<br>
晒单积分<br>
作为电商萌新，你的鼓励就是KAKABUY继续变好最大的动力。如果你能动动手指晒单评论，KAKABUY还为你准备了在商城可消费的积分。<br>
<br>
<br>
物流<br>
在KAKABUY（澳洲卡卡网https://www.KAKABUY.com.au/），你不用费心规划转运，也不用耐心等待清关。<br>
KAKABUY的实体仓库坐落于悉尼<br>
地址：LEVEL 1 / 13 CARTER ST, LIDCOMBE, NSW, 2141.<br>
营业时间：Mon-Sat 9:00am-6:00pm.<br>
你可以选择来KAKABUY（澳洲卡卡网）提货，请在提货前先在网站上下单，到店提货请提供订单号。<br>
你也可以选择邮寄服务。KAKABUY（澳洲卡卡网）统一选用AUPOST配送订单。<br>
不管你是在悉尼，墨尔本，布里斯班，阿德莱德，塔斯马尼亚；还是在佩斯，达尔文或是其他地方， KAKABUY（澳洲卡卡网）均提供配送。（邮费：标准$7, Express 19.9$）<br>
不管你的包裹有多重，只要满$69, 在KAKABUY就包邮。<br>
KAKABUY（澳洲卡卡网）知道没人喜欢等待，所以在KAKABUY，工作日当天全部订单都会在下午3：00前发出，风雨无阻。<br>
<br>
<br>
付款<br>
在KAKABUY （澳洲卡卡网），付款这件事儿也没有那么局限。<br>
你可以随心选择用澳币或是人民币付款，也可以随性选择付款方式。<br>
A．	澳币（paypal，银行转账，现金（仅限自提））<br>
B．	人民币 （微信支付，支付宝支付）<br>
<br>
<br>
正品<br>
在KAKABUY（澳洲卡卡网），你所担心的问题，我们也早已为你准备好了答案。<br>
为了让你放心的接受KAKABUY（澳洲卡卡网），我们做出以下承诺<br>
如遇保质期过期产品，按商品价格2倍现金赔偿，负责退回运费。<br>
如遇假冒伪劣商品，按商品价格10倍现金赔偿，负责退回运费。<br>
<br>
<br>
谷歌搜索: KAKABUY<br>
官网：https://www.KAKABUY.com.au/<br>
<br>
澳洲日韩美妆，澳洲日韩护肤，悉尼亚洲零食，日韩美妆，墨尔本亚洲零食，日韩护肤，布里斯班日韩美妆护肤，阿德莱德日韩美妆护肤, 佩斯亚洲零食，亚洲零食，日韩美妆护肤，CPB，IPSA，Albion，雪花秀，城野医生，兰芝，安耐晒，CANMAKE，KISSME，KATE，ETUDE HOUSE, 小林制药，花王，卡了B，卫龙，海太，方便火锅，华人购物商城，日韩美妆护肤，亚洲零食实体店，悉尼日妆店，澳洲日韩化妆品，澳洲电视盒子，澳洲CPB，澳洲日本代购，澳洲零食，华人超市，网上亚洲超市，KAKABUY<br><br></p>"
kaka,jason.kakabuy@gmail.com,,02 89580133,https://www.kakabuy.com.au/,"Level 1 / 13 Carter St, Sydney Olympic Park, NSW, 2127",Supermarket,11840,澳洲卡卡网,,"<p class=""details""><img src=""Photo_links/Sydney/11840_V1.png"" class=""logo"" width=""110"" alt=""澳洲卡卡网 Company Logo"">澳洲卡卡网是最大的澳洲网上超市, 悉尼日本代购, 澳洲日本代购, 墨尔本日本代购, 悉尼日本直邮, 墨尔本日本直邮, 澳洲日韩美妆, 澳洲购物APP, 华人网上超市, 悉尼隐形眼镜, 墨尔本隐形眼镜, 悉尼日本超市, 墨尔本日本超市, 悉尼成人用品, 墨尔本成人用品, 墨尔本日本化妆品, 澳洲华人网上超市, 布里斯班日本药妆, 悉尼美妆店, 墨尔本美妆店, 布里斯班美妆店, 澳洲网购, 澳洲中文购物网站, 澳洲华人网上购物, 澳洲华人网上超市. 悉尼, 墨尔本, 布里斯班, 阿德莱德, 佩斯, 霍巴特, 达尔文, 无需代购转运, 69包邮发全澳!<br><br></p>"
,,,02 9715 6868,,"194-196 BURWOOD RD, BURWOOD NSW 2134",Supermarket,638,春風商行 SPRING WIND FOOD STORE,,"<p class=""details""><br><br></p>"
,,,02 9649 1380,,"80-82 SOUTH PARADE, AUBURN NSW 2144",Supermarket,628,SUCCESS ASIAN GROCERY P/L,,"<p class=""details""><br><br></p>"
,,,02 9716 7809,,"272 LIVERPOOL RD, ASHFIELD NSW 2131",Supermarket,624,明華亞洲食品 MING HUA ASIAN FOOD MARKET,,"<p class=""details""><br><br></p>"
,ifreshshop@outlook.com,ifresh8888,0406964960,,"Sydney CBD, NSW 2000",Supermarket,11255,iFresh,,"<p class=""details"">iFresh新鲜蔬果配送 - 全悉尼15个区自提点/配送服务<br>
自提点：<br>
1. City/UTS/Town Hall/Ultimo<br>
2. Parramatta<br>
3. Glebe/Sydney University<br>
4. Burdwood/ Strathfield/Ashfield<br>
5. Meadowbank<br>
6. Hurstville/Miranda/Gymea<br>
7. Zetland/UNSW<br>
8. Eastwood<br>
9. Wentworth Point<br>
10. Epping<br>
11. Merrylands/Greystanes<br>
12. Baulkham Hills/ Castle Hill<br>
13. Rhodes<br>
14. Chatswood<br>
15. Hornsby<br>
若您的区域未在清单内，请联系客服安排自提/配送。<br><br></p>"
Martin,Tanhunglongmaf@hotmail.com,Tanhunglongiga,0448 438 888  /  9746 1074,,"12，90-95 The Crescent, Homebush West, NSW 2140",Supermarket,10308,Flemington新兴隆亚洲超市餐馆批发零售,,"<p class=""details""><img src=""Photo_links/Sydney/10308_V1.jpg"" class=""logo"" width=""110"" alt=""Flemington新兴隆亚洲超市餐馆批发零售 Company Logo"">餐馆用品，酱料，清洁用品，每天新鲜蔬菜水果批发及零售。拥有亚洲超市及西人超市，可提供多类型商品，店铺位于flemington火车站旁，旁边有大量停车位。是餐馆进货的最佳选择，量大的话在批发价格基础上可给予更多折扣。仓库及店铺有大量存货供应，可到店选购或订单送货。请与我们联系<br><br></p>"
Winnie,qwwp1217@hotmail.com,,0412071178,,"Burwood, NSW 2134",Supermarket,10530,從臺灣帶來的頂級茶葉,,"<p class=""details"">阿里山高山烏龍珠露茶<br>
<br>
每包150g<br>
<br>
特價39<br>
<br>
Burwood現貨<br>
<br>
數量有限,要買要快！<br><br></p>"
