_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
Lucci,support@bestong.com.au,AUSBNE88,0403643991,,"17 Riley Street, Calamvale, QLD 4116",Beauty & Skin,10529,Lucci's Beauty,,"<p class=""details"">Lucci's Beauty 美容館 活動開始啦  <br>
半永久六折優惠 <br>
定制小紋身千種樣式 $39起！<br>
眉眼唇From $238！<br>
德國進口色料 純手工制作 進口器材 零結痂鎖住您的美麗 名額有限<br>
<br>
韓式綜合皮膚護理 進口儀器搭配韓國院線產品 體驗價僅$58<br>
明星煥膚系列 雪花煥膚 黃金煥膚 <br>
私人定制與問題肌膚護理<br>
<br>
全線水光針 僅$238 東國 菲洛嘉 絲麗 瑞蘭等 <br>
美思滿人胎素保養 $39<br>
進口美白針 溶脂針 瘦臉針 安全可靠<br>
<br>
德國MTS微針/滾針<br>
德國無創水光針（體驗$99）<br>
美白嫩膚，提拉緊致，淡紋祛痘，還你童顏閃亮！<br>
特色項目- 霧化面雕<br>
四大功效：魔幻去皺，水光嫩膚，溶脂瘦臉，線雕提升。<br>
<br>
養生項目<br>
中醫艾灸，卵巢保養，豐胸美體，減肥塑形<br>
美麗同時享受健康。<br>
<br>
你們的美麗 我們前進的動力 <br>
預約微信AUSBNE88<br>
期待您的光臨<br><br></p>"
,,,0451 412 778,,"Brisbane, QLD 4000",Beauty & Skin,7677,黄金海岸美发,,"<p class=""details"">4级发型师，剪烫染发，洗剪吹6次免费1次，欢迎顾客自带颜色。<br><br></p>"
Lily,,,0432 521 186 / 07 3388 6661,,"Brisbane, QLD 4000",Beauty & Skin,7678,JL美容美甲,,"<p class=""details"">美甲类：水晶，光疗，彩绘，数码等各类美甲<br>
美容类：脸部眼部手足护理<br>
养生按摩类：子宫&amp;肾保养，肩颈，背部，足部，身体按摩等。<br><br></p>"
Vivi Lin,lovevivilife@gmail.com,ivi4555,0413345204,http://www.facebook.com/LaViVa2012QLD,"Level 1 / 450 George st city Brisbane 4000, Brisbane, QLD 4000",Beauty & Skin,9669,LaViva Facial & Eyelash Extensions 美容 美甲 美睫,,"<p class=""details""><img src=""Photo_links/Brisbane/9669_V1.jpeg"" class=""logo"" width=""110"" alt=""LaViva Facial &amp; Eyelash Extensions 美容 美甲 美睫 Company Logo"">Hello 大家好 我們來自台灣，在2012就開始從事美甲美睫與紋繡的事業，<br>
去年Vanessa的加入，多了美容美體的服務，也一起成立了Laviva,<br>
在布里斯班已經有些小名聲了<br>
歡迎大家至我們的粉絲團看看歷來作品<br>
環境優美，服務專業親切，只給適合你的美容美睫喔<br>
謝謝<br><br></p>"
Wink,winkhui@gmail.com,,0449932888,https://winkhui.wixsite.com/wink,"Brisbane, Gold Coast, Brisbane, QLD 4000",Beauty & Skin,11144,Wink Makeup,,"<p class=""details"">大家好，我是Wink, 本人有8年以上的化妝服務，主打新娘化妝，宴會化妝。妝以清新，貼服，可愛，高貴，以日本可愛，歐美高檔，貴氣 為主。大家可以去點擊我的網站，有需要可以連絡本人，謝謝<br><br></p>"
Alicia,tesshor@hotmail.com,1014049315,0422999100,https://www.facebook.com/AliciousMakeup,"Brisbane, QLD 4000",Beauty & Skin,9503,AliciousStyling布里斯班/黄金海岸化妆师，新娘化妆,,"<p class=""details""><img src=""Photo_links/Brisbane/9503.jpg"" class=""logo"" width=""110"" alt=""AliciousStyling布里斯班/黄金海岸化妆师，新娘化妆 Company Logo"">国家高级化妆师,资深彩妆造型师,MAC专业彩妆造型师，2011 Miss Model of the Wolrd指定造型师为您打造完美新娘造型!!<br>
<br>
-专业团队,经验丰富,造型多变,根据您的气质打造最适合您的造型(欧式,韩式,中式).<br>
<br>
-提供布里斯班,黄金海岸地区新娘化妆,新娘婚礼当天跟妆, 摄影跟妆服务. 并承接日常妆,约会妆,formal妆，晚宴妆,舞台装,时尚妆,古装各种造型.<br>
<br>
-可上门服务.<br>
<br>
关注 facebook可领取优惠 http://www.facebook.com/AliciousMakeup<br>
请拨打热线电话0422999100<br>
QQ/微信 1014049315<br><br></p>"
Wink,Winkhui@gmail.com,,,,"Brisbane, Gold Coast, Brisbane, QLD 4000",Beauty & Skin,11143,Wink Makeup,,"<p class=""details""><br><br></p>"
Claire,claire25792@hotmail.com,,0434490456,http://www.facebook.com/tceyelash,Hall St.,Beauty & Skin,7547,嫁接睫毛/植睫毛-布里斯本,,"<p class=""details""><img src=""Photo_links/Brisbane/7547.jpg"" class=""logo"" width=""110"" alt=""嫁接睫毛/植睫毛-布里斯本 Company Logo"">住在布里斯本及黃金海岸的美妹們有福了～<br>
實在太美了啦！<br>
<br>
想要上班或出去玩的時候也可以美美的嗎！<br>
不用每天上下班花上10分鐘,夾睫毛上睫毛膏裝假睫毛卸睫毛～<br>
<br>
嫁接睫毛的好處好多好多～重點是～自然不做作！<br>
<br>
我好喜歡這夢幻自然的睫毛～<br>
可以不用再裝上厚重的假睫毛...<br>
<br>
來粉絲團按讚 www.facebook.com/tceyelash<br>
<br>
NATURAL LASHES 自然型 --- AUD$79 （每隻眼睛約30-50睫毛嫁接）<br>
Have fantastic natural looking lashes with 35-50 lashes applied to each eye.<br>
<br>
GLAMOUR LASHES 魅力型 --- AUD$99 （每隻眼睛約50-70睫毛嫁接）<br>
Fully pumped with 50-70 lashes applied to each eye.<br>
<br>
DRAMATIC LASHES 夢幻型 --- AUD$129 （每隻眼睛約70-120睫毛嫁接）<br>
70-120 lashes applied to each eye using a thick lash in extreme lengths.<br>
<br>
Refills 回補 - AUD$40 (For Every 2 - 3 Weeks) 每二至三週一次<br>
<br>
Eyelash Extension Removal 卸除睫毛 - AUD$40<br>
<br>
Bottom Lashes 嫁接下眼睫毛 - AUD$50<br>
<br>
想學一技之長的姐妹也可以私訊我喲！<br>
<br>
也請各位美女們幫幫忙～到我的粉絲團按讚！<br>
幫我多多充充人氣～謝謝你們喲！<br>
https://www.facebook.com/tceyelash<br>
<br>
預約專線Make an appointment <br>
0434490456 Claire<br>
Line: claire25792<br>
QQ: 2082529610<br><br></p>"
Veronica,albee090101@yahoo.com.tw,,0421024924,https://www.facebook.com/Vmagicbeauty2017/,20 Racecourse Rd Hamilton Qld 4007,Beauty & Skin,9926,V Magic beauty,,"<p class=""details"">臉部護理<br>
<br>
➢ 基礎護理 <br>
<br>
• 水活潔淨基礎護理 <br>
• 淨化無暇平衡護理 <br>
<br>
➢ 深層護理 <br>
<br>
 	面皰痘痘護理<br>
• 深層淨痘清潔護理 (深層清潔/毛孔淨化)<br>
• 深層淨痘保濕護理 (深層清潔/加強保濕)<br>
<br>
 	保濕美白護理<br>
• 活化滋顏深層護理 <br>
• 立體保濕深層護理 <br>
• 淨亮透白深層護理 <br>
<br>
 	抗皺拉提護理<br>
• 活顏緊緻還原護理 (微晶藻針)<br>
<br>
每項臉部護理皆含<br>
• 活性洗卸<br>
• 角質代謝<br>
• 粉刺清理<br>
• 臉部按摩   <br>
• 肩頸按摩<br>
<br>
➢	臉部刮痧 <br>
<br>
➢	耳燭淋巴排毒療法（包含頭頸間精油按摩）<br><br></p>"
,,,07 3423 8829 / 0432 024 737,,"28 Alconah St,Sunnybank, QLD 4109",Beauty & Skin,7466,French Door Hair & Beauty,,"<p class=""details"">独家引进现在风靡韩国的超级皮肤提拉机器。<br>
激光治疗促进再生/毛孔缩小美白/皱纹护理/皮肤提拉/淋巴引流<br><br></p>"
,,,0433 993 690（韩、中、英）,,"3 Mako St,Runcorn,Runcorn, QLD 4113",Beauty & Skin,7467,思颜丽,,"<p class=""details"">护理包括：<br>
美白，不睡，祛痘，抗老护理，深层清洁，蒸面，韩式面护，精华导入，营养面膜，事后护理。<br>
资深经验按摩师带给你不一样的身体体验。<br><br></p>"
,,,07 3272 2202,,"shop 64A 2nd floor,Sunnybank Hills Shoppingtown,Cnr Calam Rd,Sunnybank Hills, QLD 4109",Beauty & Skin,7414,My Clinic,,"<p class=""details"">除痣/脱毛<br>
色斑/皮肤色素减退<br>
粉刺/手术遗留疤痕<br>
妊娠纹淡化<br>
皱纹淡化<br>
纹身去除<br>
整形外科手术<br><br></p>"
,,,07 3344 1145,,"Time Square,Suit 113b,Level 1,250 McCullough St,Sunnybank, QLD 4109",Beauty & Skin,7468,专业美肤护理,,"<p class=""details"">专业美容品牌，配套专业设施，帮您解决皮肤的所有难题，让您拥有水润嫩白的肌肤。<br>
美容：<br>
深层洁面按摩，抗衰老按摩，肤质美白疗程，微精磨皮，眼部护理。<br>
脸部、腿部、背部、手臂、腋下等全身脱毛。<br>
手足护理，修剪指甲，手摩，脚摩。<br>
按摩：<br>
精油按摩/熟石按摩<br><br></p>"
Dean,info@safelipo.com.au,,0404 977 013,http://www.safelipo.com.au,"318 Old Cleveland Rd,Coorparoo, QLD 4151",Beauty & Skin,7495,SAFE LIPO,,"<p class=""details"">即时减脂，无痛！安全！迅速！没有停滞期！<br>
我们是专业的减肥专家！<br>
安全的天然牙齿美白<br>
全额保险、100%天然、通过验证、清除牙垢、节省70%以上的牙医费用、难以置信的全新100%安全牙齿美白<br><br></p>"
,Rachel,,0430 220 827,,"Brisbane, QLD 4000",Beauty & Skin,7391,彩妆造型,,"<p class=""details"">专业打造完美新娘<br>
时尚妆发  一手包办<br><br></p>"
Sammui,jasmin2016,sammuimui,(61)7 5545 2006,http://www.jasminorganics.com/,"197 Long Road, Tamborine Mountain, QLD 4272",Beauty & Skin,9801,Jasmin Organics 有机护肤品,,"<p class=""details"">Jasmin 天然有机护肤品已在澳大利亚、日本、英国、香港，新加坡、等高档SPA和专柜销售，并深得各国用户的喜爱。<br>
<br>
品牌其下有Jasmin Organics 和Koala Baby 母婴系列产品。<br>
<br>
澳大利亚传奇品质的美容产品JASMIN，独特之处在于种植园及工厂内有自己的天然矿泉水源，JASMIN的产品是经得起检验值得信赖的名副其实的天然有机产品，其所加入的有机植物成分都是在认证有机环境下种植的、JASMIN的产品成分完全使用了认证有机的植物原料、JASMIN的生产过程是在认证有机的标准下完成的、JASMIN提供的所有产品都是经过认证的有机产品，因此能够为肌肤提供充足的有机能量，不会对肌肤和健康造成任何副作用，并能及时修复受损肌肤，为肌肤所需要的全部营养，将植物的生命力注入肌肤，使肌肤极致完美，时刻保持在最佳状态，JASMIN关心肌肤健康，使用了最纯正的有机精油，在照顾心灵的同时，也提供美好的嗅觉享受，每一种精油、植物基础油、纯露都是天然的认证有机成分，依赖天然分子与植物的生命力和细胞互动，使肌肤细胞恢复再生能力，逐渐将长期滞留在肌肤里的化学毒素以代谢方式排除，可为肌肤提供长达12小时深层保湿，帮助抵抗自由基及环境伤害，延缓肌肤衰老，回复肌肤健康光彩。<br>
<br>
 JASMIN的有机农场，地处被称为“世界最后一片净土”澳大利亚南部的昆士兰檀柏丽山，毗邻长达450公里，至少有上亿年历史，南半球最大热带雨林檀柏丽国家公园，这里土地肥沃，水量充足，是最适合植物自然生长的环境。JASMIN种植了茉莉、奥图玫瑰、栀子、鳄梨、橙花及其它许多水果和草本植物，甚至养殖了蜜蜂，帮助花果和植物授粉，同时为产品的生产提供了最优质的蜂蜜和蜂蜡。 <br>
<br>
JASMIN在全球选择最好的有机植物原料同时，致力发掘芳香植物对人类的使用价值，以更新后的传统产品生产和萃取工艺，利用民间智慧和历史汲取的灵感，遵循古老神奇的芳香疗法，结合有机科学实践，研制世界上最具人文环保特色和创新科技的纯正有机美容产品。由天然有机植物油、精油和有机植物提取精华完美结合的JASMIN，不仅给肌肤带来健康，还可以为疲劳的身心找到回归大自然安逸感受。<br>
<br>
品牌优势：世界有机护肤品第一品牌，获得 2013 年全球可持续发展巴黎颁奖大会“全球最绿色环保配 方大奖” , .所有材料100％必须来自官方机构认可的原料种植基地，所有产品中含量最少不低于95％有机认证的成分。<br>
<br>
从植物种植、生产、萃取需按照严格的有机认证标准，不添加化肥、农药。使用最纯净的人工种植方式<br>
<br>
- 配方优势：拥有自主研发 1500 个有机护肤品及有机精油配方，均经过全球有机机 构认证。<br><br></p>"
