_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
Shufang Wang / Ry Heng,info@wsfclothing.com.au,微信：Eucalyptus123,02 9567 2890 / 0449 850 688,http://www.wsfclothing.com.au,"9A King St, Rockdale, NSW 2216",Hairdresser,9609,干洗裁缝店 Rockdale Drycleaner,,"<p class=""details"">如果您的衣柜里总有一些完好却过时的衣服，你也许永远都不再穿，但扔了又可惜，怎么办呢？找我呀！你的衣服我做主，稍微调整一下创意，您就会拥有独一无二的款式！相信我的创意!<br>
<br>
干洗，熨烫，裁缝，修改，成衣制作，成衣修改，西服设计和定制。婚纱，礼服设计，定制，修改或出租。 <br>
<br>
另有洗包包，洗鞋子，洗棉被，洗毛毯等服务，欢迎光临。<br>
<br>
地址：9A King St, Rockdale, NSW 2216 电话：02 9567 2890 / 0449 850 688  微信：Eucalyptus123      <br>
<br>
WSF clothing shop can help relieve stress from your busy week by taking care of your laundry &amp; dry cleaning needs delivering your washing to you at affordable prices.<br>
<br>
Through our quality laundry &amp; dry cleaning services your washing can be collected, wash, dry cleaned, ironed and delivered to your doorstep to suit your schedule saving you time and money.<br>
<br>
We welcome all local sports teams who need their kits washing on a weekly basis and can offer an exceptional service at a very competitive price, so you and your team mates have a cleaner then clean kit every week.<br>
<br>
Our dry cleaning includes:<br>
<br>
Two day turnarounds<br>
Express same day service<br>
Free collection &amp; delivery<br>
Shirt service<br>
Curtains &amp; bed linen dry cleaning<br>
Corporate/office dry cleaning<br>
Suit &amp; wedding dress specialists<br>
Very competitive rates<br>
<br>
Our laundry &amp; alterations include:<br>
<br>
Laundry services<br>
Ironing services<br>
Tailor alterations<br>
Clothing repairs<br><br></p>"
,,,07 3257 3052,,"216 Brunswick St, Fortitude Valley QLD 4006",Hairdresser,6029,Super Star Hair,,"<p class=""details"">专业美发， 发型设计。<br><br></p>"
,,,02 9874 4745,,"110 ROWE ST., EASTWOOD NSW 2122",Hairdresser,3426,OH KYUNG SOOK HAIR SALON,,"<p class=""details""><br><br></p>"
,,,0431 105 953 / （07）3852 2580,,"243 Brunswick St,Fortitude Valley, QLD 4006",Hairdresser,7174,GANGNAM STYLE,,"<p class=""details"">韩国专业发型师<br><br></p>"
,,,02 9410 2133,,"71 - 73 ARCHER ST., CHATSWOOD NSW 2067",Hairdresser,3406,888 髮廊,,"<p class=""details""><br><br></p>"
,,,02 9787 5779,,"SHOP 307 BEAMISH ST., CAMPSIE NSW 2194",Hairdresser,3403,現代美容髮型中心,,"<p class=""details""><br><br></p>"
,,,02 9804 7083,,"124 ROWE ST., EASTWOOD NSW 2122",Hairdresser,3427,絲蓓髮廊 SILK FLOWERY HAIR SALON,,"<p class=""details""><br><br></p>"
,,,02 9281 5151,,"SHOP 1-2, 76 ULTIMO RD., HAYMARKET NSW 2000",Hairdresser,3438,南星專業髮型設計 BLUE STAR HAIR DESIGN,,"<p class=""details""><br><br></p>"
,,,02 9411 8767,,"SHOP 4, 202 VICTORIA AVE, CHATSWOOD",Hairdresser,3410,HONG KONG & AUSTRALIA BEYOND THE FRINGE HAIR STUDIO,,"<p class=""details""><br><br></p>"
,,,02 9763 2080,,"SHOP 2/22 HENLEY RD., HOMEBUSH WEST NSW 2140",Hairdresser,3451,非一般髮舍 ANA SALON,,"<p class=""details""><br><br></p>"
,,,02 9211 8321,,"410-420 SUSSEX ST., HAYMARKET NSW 2000",Hairdresser,3441,胡絲嫩賞 DREAMIX HAIR SALON,,"<p class=""details""><br><br></p>"
,,,02 9482 3106,,"SUITE 1/7/2A, FLORENCE ST., HORNSBY NSW 2077",Hairdresser,3452,美潔髮廊 M & J HAIRDRESSING,,"<p class=""details""><br><br></p>"
,,,02 9413 2128,,"SHOP 2, 72 - 75 ARCHER ST, CHATSWOOD NSW 2067",Hairdresser,3412,MAY LEADER 美髮廊 MAY LEADER HAIR & BEAUTY,,"<p class=""details""><br><br></p>"
,,,02 9940 4054,,"9 LODGE ST., HORNSBY NSW 2077",Hairdresser,3453,SKY 美容美髮 SKY BEAUTY & HAIR,,"<p class=""details""><br><br></p>"
,,,02 9281 1506,,"SHOP 12, 401 SUSSEX ST. SUSSEX CENTRE, HAYMARKET NSW 2000",Hairdresser,3439,南星專業髮型設計 BLUE STAR HAIR DESIGN,,"<p class=""details""><br><br></p>"
,,,02 9580 4098,,"303 FOREST RD., HURSTVILLE NSW 2220",Hairdresser,3460,新一派 NEW AGE HAIRDRESSING SALON,,"<p class=""details""><br><br></p>"
,,,02 9585 1388,,"SHOP 2-3 185E FOREST RD. HURSTVILLE, HURSTVILLE NSW 2220",Hairdresser,3457,現代經典髮廊 HURSTVILLE MODERN CLASSIC HAIR SALON,,"<p class=""details""><br><br></p>"
,,,02 9580 2600,,"186 FOREST RD., HURSTVILLE NSW 2220",Hairdresser,3454,南星專業髮型設計 BLUE STAR HAIR DESIGN,,"<p class=""details""><br><br></p>"
,,,02 9579 5122,,"208 FOREST RD., HURSTVILLE NSW 2220",Hairdresser,3458,髮飄髮型設計 KOOL KUTZ HAIR DESIGN,,"<p class=""details""><br><br></p>"
,,,02 9663 0868,,"478 ANZAC PDE, KINGSFORD NSW 2032",Hairdresser,3462,南星專業髮型設計 BLUE STAR HAIR DESIGN,,"<p class=""details""><br><br></p>"
