_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
平安中医李医生,lyuepingnz@gmail.com,,clinic : 0448 518882 /03 98788669 / 03 90083888,http://www.chinesemedicinemel.com.au,"249 Caterbury Road, Forest Hill, VIC 3131",Traditional Chinese Therapy,9415,平安中医,clinic : 0448 518882 /03 98788669 / 03 90083888,"<p class=""details""><img src=""Photo_links/Melbourne/9415_V7.jpg"" class=""logo"" width=""105"" alt=""平安中医 Company Logo"">李跃萍 主任中医师 ，毕业于南京中医药大学，具有二十多年中，纽，澳中医针灸临床经验，曾任新西兰中医学院高级讲师以及临床指导老师十余年，新西兰中华电视网中医专线节目特邀中医师，目前是澳大利亚注册中医师，针灸师，澳洲全国中医药针灸学会联合会会员 (FCMA)。<br>
李跃平主任中医师擅长辨证论治，选用多种针灸治疗方法（如传统针刺，腹针，脐针，艾灸，火罐等）以及中药治疗各种疑难杂症，尤其擅长治疗各种急慢性肌肉损伤和疼痛 (如颈椎病，肩周炎，网球肘，腰肌劳损，腰椎间盘突出症，膝关节肿痛等)；妇科疾病（如月经不调，痛经，不孕症，更年期综合症）；精神科疾病 (如抑郁症，焦虑症，失眠)；男科疾病（如不育，阳痿，早泄，性欲低下）；皮肤科疾病 (如皮肤瘙痒，湿疹，荨麻疹)，消化道疾病 (如慢性腹泻，便秘，慢性胃炎，胃溃疡)，并且擅长各种亚健康保健。<br>
     张医师毕业于南京中医药大学，具有超过二十年中纽澳骨伤科临床经验，擅长运用传统中医正骨，针灸推拿治疗各类骨伤科疾病：如颈椎病，肩周炎，网球肘，腱鞘炎；各种腰背疼痛，椎间盘突出；各种肩，腕，踝关节扭伤；各种退化性关节炎，风湿性关节炎。腰肌劳损、关节痛、运动创伤后遗症、颈椎痛、手脚麻痹、头痛、骨刺、脊柱侧弯、坐骨神经痛..                            <br>
<br>
营业时间：周一至周五：9：00 Am-18：00 Pm<br>
          周六：9：00 Am-15:00 Pm <br>
<br>
在平安中医我们提供各大保险公司刷卡回扣。<br>
<br>
联系方式：<br>
电话：03 98788669 / 0448518882 /03 90083888<br>
地址：249 Canterbury road ,forest hill(FHC 医疗中心内)<br><br></p>"
,,,03 9560 8717,,"280 Springvale Rd,Glen Waverley, VIC 3150",Traditional Chinese Therapy,7928,东方中医中心,03 9560 8717,"<p class=""details"">祖传中医世家150余年，7岁学针药，工商保险回扣，南京中医药大学医学士，数十年临床经验。<br>
主治：肿瘤、哮喘、气管炎、花粉症、各种皮肤病、肾炎、肝炎、鼻窦炎、中风后遗症、关节炎、妇科病、前列腺炎、偏头痛、阳痿、不孕<br><br></p>"
,,,03 9543 3866,http://www.myacupuncture.com.au,"1572 Princes Hwy,Oakleigh East, VIC 3166",Traditional Chinese Therapy,7931,中医妇科,03 9543 3866,"<p class=""details"">毕业于北京中医药大学，中国卫生部北京中日友好医院医师，曾任教于维多利亚大学中医部，墨尔本自然医药学院。家传中医内科妇科。<br>
调经：月经不调，提前，错后，不定期，月经量过多过少，非经期出血，痛经，闭经<br>
种子：不孕不育，精子品质低下，先兆流产，习惯性流产，IVF支持，卵子品质，保胎<br>
产前产后调理：恶露不净，乳少，身痛<br>
妇科杂病：子宫内膜异位症，子宫肌瘤，多囊卵巢综合症，激素不正常。更年期综合征。<br><br></p>"
,,,03 9893 3856,,"586 Middleborough Rd,Blackburn, VIC 3130",Traditional Chinese Therapy,7932,澳亚推拿,03 9893 3856,"<p class=""details"">集少林与现代，具二十余年临床经验<br>
主理：各种跌打、运动性损伤，慢性肌肉劳损，颈肩综合征，肩周炎，网球肘，坐骨神经痛，肌肉萎缩和偏瘫，各种脊椎性疾病和骨刺，偏头痛，精神紧张及多种关节炎。<br><br></p>"
,,,03 9898 3893 / 0412 181 798 / 0422 383 303,http://www.fengyu.com.au,"908 Whitehorse Road,Box Hill, VIC 3128",Traditional Chinese Therapy,7937,豐裕行,03 9898 3893 / 0412 181 798 / 0422 383 303,"<p class=""details"">专业经营：<br>
纽西兰天然鹿产品，我们拥有纽西兰农林部加工生产及出口各类型鹿产品的证书。我们的产品出口到世界各地，包括香港、中国、台湾、马来西亚、新加坡、加拿大及美国等。<br>
鹿茸丸-----天然滋润养生<br>
鹿胎丸-----天然保青春 抗衰老至尊<br>
鹿血丸-----女士之宝 天然补血养颜<br>
鹿鞭丸-----天然健肾壮阳<br>
鹿尾丸-----天然养肝固肾<br>
另外经营：花胶、鱼翅、鲍鱼、海参、元贝、花菇、燕窝、鹿茸、鹿尾巴，鹿鞭及各类保健品。<br><br></p>"
,,,03 9898 8009 / 039899 9013,,"Level 1,6 Market St,Box Hill, VIC 3128",Traditional Chinese Therapy,7943,脊椎修复按摩,03 9898 8009 / 039899 9013,"<p class=""details"">脊椎修复按摩师一种专业保健，致力于中枢神经系统以及骨骼肉系统疾病的非手术治疗手段，专业的脊椎推拿师可以帮助记住恢复健康状态，并疏理全身经络。<br><br></p>"
,,,03 9428 5989,,"250 Victoria St,Richmond, VIC 3121",Traditional Chinese Therapy,8309,PING'S FULL BODY CARE,03 9428 5989,"<p class=""details"">1、清除疲劳疼痛<br>
2、消除压力紧张<br>
3、松弛神经<br>
4、提高血液循环<br>
5、促进与治疗受伤部位<br>
6、帮助排泄功能<br>
中式老牌连锁正宗按摩。20年专业经验，把健康养生带给您！<br><br></p>"
,,,03 9855 0568,,"42A Church St,Hawthorn, VIC 3122",Traditional Chinese Therapy,8228,推拿、针灸、中医治疗中心,03 9855 0568,"<p class=""details"">高级专业推拿师和针灸中医师出席了2008年在墨尔本举行的全国游泳锦标赛运动员的推拿、按摩，效果特别好！一名针灸中医师来自美国船上水疗中心，另一名是又二十多年工作经验5代相针灸师。<br>
修复肌肉、各类骨伤科、更年期综合症、内科。<br><br></p>"
,,,03 8510 0748 / 0403 001 684,,"57 Albert AVE,Springvale, VIC 3171",Traditional Chinese Therapy,8324,莫氏皮肤骨科专科,03 8510 0748 / 0403 001 684,"<p class=""details"">1、皮肤专科：牛皮癣、手脚廯、顽固湿疹、皮肤炎、风疹、荨麻疹、神经性皮炎、小儿湿疹<br>
2、腰腿骨科痛症：常年坐骨神经痛及腰腿痛、常年肩周炎及网球手、风湿性关节炎周期性痛楚、腰肌劳损及骨质疏松。<br>
3、痛症治疗：源自祖传秘方、临床试验并专改良、治疗，药力强、无需食疗，确保三天扭转病情。<br><br></p>"
,,,03 9481 8866,http://www.drcaoschinesemedicine.com.au,"282 St Georges Rd,Fitzroy North, VIC 3068",Traditional Chinese Therapy,8465,曹博士中医心里诊所,03 9481 8866,"<p class=""details"">曹博士于1986年毕业于北京医科大学，1987年获得奖学金并来到南澳佛林德思大学医学院精神病部学习并获笔试学位。她曾就职于政府机构从事精神健康工作数年。近几年来，曹博士一直运用自己多年的中西医医学知识和经验，在自己的诊所里，为病人解除痛患。<br><br></p>"
